word,part_of_speech,definitions,examples,section,source
alimángu,n,crab,,A,MotusDictionary
alipúlus,n,"cyclone, eddy.",,A,MotusDictionary
alíntun,v,"/mag-,-un/ to transfer , to hand down.",Gin’alíntun ni José angbalíta’ kay Joséfa .,A,MotusDictionary
Jose,unknown,related theincident to Josefa.,,A,MotusDictionary
alísto,adj,"alert, ready , prompt.",,A,MotusDictionary
almasín,n,"sto re, small market.",,A,MotusDictionary
almidól,n,starch.,,A,MotusDictionary
almiránte,n,"of thenavy, admiral.",,A,MotusDictionary
alpabéto,n,alphabet.,,A,MotusDictionary
alpómbra,n,"carpet, rug.",,A,MotusDictionary
álsa,v,"/mag-,-un/ to raise, to lift, to elevate",,A,MotusDictionary
slightly,unknown,. Gin’álsa nyaangbáskit . Helifted | thebasket.,,A,MotusDictionary
alúm,n,"mole. | alúng’ung n opinion, idea, thought, knowledge.",,A,MotusDictionary
áman,v,"/mag-,-un/ to prepare. Gin’-áman ninánay | angpagká’un sabisíta . Mother prepared",,A,MotusDictionary
thefood,unknown,forthevisito r .,,A,MotusDictionary
amargóso,n,"bitter melon. | amát’amát adv gradually , little by little. A",,A,MotusDictionary
leave,unknown,on ebyone. Nag’ámat ’ámat nasilá.,,A,MotusDictionary
They,unknown,lefto nebyone.,,A,MotusDictionary
amáy,n,father .,,A,MotusDictionary
ámba,n,"prayer , chant, song.",,A,MotusDictionary
ámbit,v,"/mag-,-un/ to participate, to share in.",Gin’ámbit nyaangkadunggánun . He,A,MotusDictionary
shared,unknown,in thehonor .,,A,MotusDictionary
ámbung,n,"/ka-/ radiance, beauty .",,A,MotusDictionary
ámbut,unknown,id Idon’t know .,,A,MotusDictionary
Amérika,n,America.,,A,MotusDictionary
amerikána,n,"formal coat formen, female American | citizen.",,A,MotusDictionary
Amerikáno,n,American citizen.,,A,MotusDictionary
amidúl,n,variant of almidúl .,,A,MotusDictionary
amígo,n,"friend, buddy .",,A,MotusDictionary
amimíluk,n,eyelash.,,A,MotusDictionary
amínhan,n,north.,,A,MotusDictionary
ámlig,v,"/mag-,-an/ to handle with care, to be, | careful. Gin’-amligán niÉlsa angíyang | bág’ung líbro. Elsa wascareful with her",,A,MotusDictionary
new,unknown,"book. | ámpu’ n prayer , pleading. HILIGA YNON DICTIONAR Y",,A,MotusDictionary
Salvacion,unknown,prayed to God.,,A,MotusDictionary
ámu,n,"boss, employer , master .",,A,MotusDictionary
amú,unknown,"pr it, that.",,A,MotusDictionary
amúma,v,"/mag-,-un/ to behospitable, to entertain.",,A,MotusDictionary
ámun,unknown,"pr our, ours (first person exclusive plural",,A,MotusDictionary
ámut,n,"subscription, donation, contribution.",,A,MotusDictionary
simbáhan,unknown,. Igave something forthe | church.,,A,MotusDictionary
ámyun,adj,/ma-/ fragrant.,,A,MotusDictionary
