word,part_of_speech,definitions,examples,section,source
libro,unknown,pára sakláse . Thebooks were not,,K,MotusDictionary
enough,unknown,"fortheclass. | kúlba’ n anxiety , nervousness.",,K,MotusDictionary
wasnervous,unknown,during theearthquake,,K,MotusDictionary
kulíhut,adv,"last, hindmost.",,K,MotusDictionary
kulú,n,breadfruit.,,K,MotusDictionary
kulúb,adj,"in verted, upset, turned over.",,K,MotusDictionary
Nagkulúb,unknown,angyahúng. Thebowl,,K,MotusDictionary
turned,unknown,over.,,K,MotusDictionary
kúlun,n,claycooking pot.,,K,MotusDictionary
kulúng,v,"/mag-, -un/to cage, to imprison.",,K,MotusDictionary
Ginkulúng,unknown,kuangpíspis . Icaged the | bird.,,K,MotusDictionary
kulyápis,adj,"emaciated. | kumalágku’ n thumb, bigto e.",,K,MotusDictionary
kumbúya,n,partner .,,K,MotusDictionary
kumbuyahán,n,"company , partnership.",,K,MotusDictionary
kumpaníya,n,"company , business enterprise.",,K,MotusDictionary
kumpáre,n,"comrade, relationship between the",,K,MotusDictionary
godfather,unknown,andparents of thegodchild. K,,K,MotusDictionary
kumpisár,n,confession.,,K,MotusDictionary
kúmud,v,"/mag-, -un/to grumble, to murmur , to | sulk. Nagkúmud si Maria sakwárto | kaywalá’syapagbákli sang sapátus .",,K,MotusDictionary
onebought,unknown,heranew pairofshoes.,,K,MotusDictionary
kún,unknown,"con if, possibly if, provided that. Kunindí’",,K,MotusDictionary
akúgina-kápuy,unknown,", makádtu táni’ akú. I",,K,MotusDictionary
would,unknown,"goif Iwere notfeeling sotired. | kúnkís’a adv occasionally , sometimes, rarely . | kúndi’ con although, but, well, therefore, might as | well. Walá’man syadirá’ sabaláy | kundí’ malakát naláng kitá, a. We",,K,MotusDictionary
might,unknown,aswell go. Sheisnothome,,K,MotusDictionary
anyway,unknown,.,,K,MotusDictionary
kundíman,n,Filipino song which depicts mood,,K,MotusDictionary
changes,unknown,"of thepeople, usually written",,K,MotusDictionary
inthenative,unknown,"languages andcomposed | by Filipinos. | kuntáni’ pt maybe, ifpossible, Ihope. This particle",,K,MotusDictionary
implies,unknown,apossibility andhope for,,K,MotusDictionary
aregret,unknown,of past events. Gústo ku | kuntáni’ ma’upúd . Iwould liketo go,,K,MotusDictionary
along,unknown,(ifpossible).,,K,MotusDictionary
kunú,unknown,"pt according to, heorshesaid. This isa",,K,MotusDictionary
quoting,unknown,particle. Makádtu syakunú sa,,K,MotusDictionary
Pampánga,unknown,. Hesaid hewillgoto,Pampanga.,K,MotusDictionary
kunúl,adj,"in terrupted, shrank, dry(like ariver).",,K,MotusDictionary
river,unknown,randry. HILIGA YNON DICTIONAR Y,,K,MotusDictionary
kunúp,n,"cloak, coat, overcoat.",,K,MotusDictionary
kunút,adj,wrinkled.,,K,MotusDictionary
Nagkunút,unknown,angíyaágtang pagkabatí,,K,MotusDictionary
nyasang,unknown,notísya . Hisforehead,,K,MotusDictionary
wrinkled,unknown,when heheard thenews.,,K,MotusDictionary
kúnyag,n,"chill, cold chill.",,K,MotusDictionary
Ginkúnyag,unknown,akúkahápun . Ihadachill,,K,MotusDictionary
kúpkup,n,"embrace, hug.",,K,MotusDictionary
Ginkupkupán,unknown,kusi Lóla. Iembraced,,K,MotusDictionary
mygrandmother,unknown,". | kupú’ v /mag-, -an/to hang on to tightly , to",,K,MotusDictionary
embrace,unknown,"tightly , to cling to, to stick to | likealizard. Nagkupú angsúksuk sa",,K,MotusDictionary
díngding,unknown,. Thelizard clinged to the | wall.,,K,MotusDictionary
kúra,n,"pasto r of aparish, minister in charge",,K,MotusDictionary
ofacertain,unknown,area.,,K,MotusDictionary
kúrba,n,curve.,,K,MotusDictionary
wire,unknown,curved.,,K,MotusDictionary
kurbáda,n,"street corner , street curve.",,K,MotusDictionary
kurbáta,n,"necktie. | kúri’ adj /ma-/ slow, weak. K",,K,MotusDictionary
kuribúng,v,/magpa-/ to isolate in aquiet room.,,K,MotusDictionary
Nagpakuribúng,unknown,akúsakwárto . I,,K,MotusDictionary
isolated,unknown,myself in theroom.,,K,MotusDictionary
kurinút,adj,"creased, wrinkled.",,K,MotusDictionary
paper,unknown,iswrinkled.,,K,MotusDictionary
kuríng,n,cat.,,K,MotusDictionary
kurisúng,n,frown.,,K,MotusDictionary
kúrit,n,"line, mark, pencil mark.",,K,MotusDictionary
marked,unknown,thepaper .,,K,MotusDictionary
kúrug,v,"/mag-/ to shiver , to tremble, to shake.",,K,MotusDictionary
Nagkúrug,unknown,akúsakatúgnaw . Ishivered,,K,MotusDictionary
kusámkusám,v,"/mag-, -un/to taste, to partake of a",,K,MotusDictionary
little,unknown,food. Nagkusámkusám akúsa,,K,MotusDictionary
kusína,unknown,. Itasted thefood in thekitchen.,,K,MotusDictionary
kúskus,v,"/mag-, -un/to scrape with asharp",,K,MotusDictionary
instrument,unknown,orwith ascraper .,,K,MotusDictionary
Nagkúskus,unknown,akúsang lubí. Iscraped the,,K,MotusDictionary
coconut,unknown,"from thenut. | kúsi’ n pinch, small piece. HILIGA YNON DICTIONAR Y",,K,MotusDictionary
Noél,unknown,. Ipinched Noel.,,K,MotusDictionary
kusína,n,kitchen.,,K,MotusDictionary
kusinéro,n,cook.,,K,MotusDictionary
kusípad,v,"/mag-, -un/to thumb through, to pick",,K,MotusDictionary
Nagkusípad,unknown,kamí sang ma’ís . We,,K,MotusDictionary
picked,unknown,corn grains.,,K,MotusDictionary
kusúg,adj,"/ma-/ strong, energetic, healthy .",,K,MotusDictionary
hebecame,unknown,"older . | kúta’ n prison, fort.",,K,MotusDictionary
kutáwkutáw,v,"/mag-, -un/to dilute, to mixwith water .",,K,MotusDictionary
kútkut,n,hole in theground.,,K,MotusDictionary
outdirtfrom,unknown,theground soasto make | ahole. Nagkútkut kamí pára sabubún.,,K,MotusDictionary
Weexcavated,unknown,forawell.,,K,MotusDictionary
kutíng,n,kitten.,,K,MotusDictionary
kutíngkúting,v,"/mag-, -un/to pluck orstrum aguitar ,",,K,MotusDictionary
topluck,unknown,astring in strument.,,K,MotusDictionary
Nagkutíngkúting,unknown,ánay syasagitára,,K,MotusDictionary
bágo,unknown,magkánta . Hestrummed the,,K,MotusDictionary
guitar,unknown,"first, before hestarted hissong.",,K,MotusDictionary
kútis,n,"skin complexion, facial complexion.",,K,MotusDictionary
kutsára,n,tablespoon. K,,K,MotusDictionary
kutsaríta,n,teaspoon.,,K,MotusDictionary
kutséro,n,"coachman, rigdriver , man who drives a",,K,MotusDictionary
kalésa,unknown,.,,K,MotusDictionary
kutsílyo,n,knife.,,K,MotusDictionary
kútsukútsu,n,"rumor , hearsay .",,K,MotusDictionary
kutsún,n,"cushion, bedmattress.",,K,MotusDictionary
kútub,adv,until.,,K,MotusDictionary
kutúl,v,"/mag-, -un/to pick, to pluck from a | plant, to gather flowers. Nagkutúl akú",,K,MotusDictionary
kútut,v,"/mag-, -un/to sting asabeeorawasp.",,K,MotusDictionary
Ginkútut,unknown,sang búyug angbáta’ . The,,K,MotusDictionary
beestung,unknown,"thechild. | kú’ub v /mag-, -an/to bow, to bend thehead as | ifinhiding. Nagkú’ub akúsalamésa . I",,K,MotusDictionary
hidmyhead,unknown,"under thetable. | kú’ut v /mag-, -un/to feelfor, to fishoutwith | thehand, to puto ne’s hand orarmina | hole.",,K,MotusDictionary
kuyámpad,v,"/mag-, -un/to run, to scamper of f.",,K,MotusDictionary
Nagkuyámpad,unknown,silásaplása . They ran | to theplaza.,,K,MotusDictionary
kúymi,n,cashier .,,K,MotusDictionary
kwadérno,n,notebook.,,K,MotusDictionary
kwádra,n,stable. HILIGA YNON DICTIONAR Y,,K,MotusDictionary
kwádro,n,"frame, picture frame.",,K,MotusDictionary
kwáku,n,"pipe, to bacco pipe.",,K,MotusDictionary
kwán,unknown,pt whatchamacallit.,,K,MotusDictionary
kwarénta,unknown,num forty.,,K,MotusDictionary
kwárta,n,"money , cold cash.",,K,MotusDictionary
kwártakwárta,n,play money .,,K,MotusDictionary
kwárto,n,"room, enclosed area, bedroom.",,K,MotusDictionary
kwátro,unknown,num four.,,K,MotusDictionary
kwéba,n,cave.,,K,MotusDictionary
kwélyo,n,"collar , back of theneck.",,K,MotusDictionary
kwénta,n,"account, balance account.",,K,MotusDictionary
kwérdas,n,string forastring in strument.,,K,MotusDictionary
kwítis,n,fireworks. K,,K,MotusDictionary
dabádabá,n,"blaze, flame.",,D,MotusDictionary
Nagdabádabá,unknown,angkaláyu . Thefire | blazed.,,D,MotusDictionary
dábdab,n,"flare, flame, blaze.",,D,MotusDictionary
dábuk,v,"/mag-, -un/to kindle afire, to build afire, | to ignite. Nagdábuk akúsang hilamún . I",,D,MotusDictionary
ignited,unknown,thegrass.,,D,MotusDictionary
dabúdabú,n,"shower , drizzle.",,D,MotusDictionary
dakbánwa,n,"city. | dakú’ adj big, bulky , huge, great.",,D,MotusDictionary
bigger,unknown,.,,D,MotusDictionary
dakúp,v,"/mag-, -un/to catch, to trap, to snare, to | capture, to arrest. Nagdakúp silásang | ísda’. They caught afish.",,D,MotusDictionary
dagámi,n,"hay, straw .",,D,MotusDictionary
dágat,n,"sea, ocean.",,D,MotusDictionary
dagát,n,"seasickness, nausea.",,D,MotusDictionary
Gindagát,unknown,akúsang pagsakáy kusabapór .,,D,MotusDictionary
Ifeltseasick,unknown,"when Irode on theboat. | dagáya’ adj many , plentiful, teeming, swarming.",,D,MotusDictionary
dágdag,n,"addition, native term forextra pieces",,D,MotusDictionary
given,unknown,of items purchased. May dágdag | in i?Doyougive extra forthis?,,D,MotusDictionary
Gindágdag,unknown,"kuanglíbro. Idropped the | book. | dagpi’ n rap, tap, pat.",,D,MotusDictionary
mosquito,unknown,". | dagsa’ v /mag-, -un/to transfer , to bewashed | ashore, to flow with thecurrent.",Gindágsa’ angkáhuy sabáybay . Thetree,D,MotusDictionary
waswashed,unknown,"ashore on thebeach. | dágta’ n sap, stain, sticky sapofplants, mark.",,D,MotusDictionary
dagum,n,"sewing needle, in jection needle. | dagusu’ v /mag-/ to swarm, to move in acrowd.",Nagdagúsu’ angmangá táwu sa,D,MotusDictionary
aksidénte,unknown,. Thepeople crowded around,,D,MotusDictionary
thescene,unknown,of theaccident. | dagu’ub n thunder .,,D,MotusDictionary
dágway,n,"facial expression, shape, posture. D",,D,MotusDictionary
Cruz,unknown,. Ireceived theletter from Mr. dela,Cruz.,D,MotusDictionary
dahúm,n,"expectations, anticipation.",,D,MotusDictionary
dáhun,n,leaf. | da’ígun n Christmas carol.,,D,MotusDictionary
Christmas,unknown,carols lastnight.,,D,MotusDictionary
dalá,v,"/mag-, -un/to bring, to carry , to transmit.",,D,MotusDictionary
dalág,adj,yellow .,,D,MotusDictionary
dalága,n,"unmarried girl, between theageofabout",,D,MotusDictionary
fifteen,unknown,to thirty .,,D,MotusDictionary
dalágan,v,"/mag-, -un/to run, to dash, to dart, to",,D,MotusDictionary
scamper,unknown,.,,D,MotusDictionary
dalagíta,n,young girlbetween theageoftenyears,,D,MotusDictionary
oldtoabout,unknown,fifteen years old.,,D,MotusDictionary
dalámhak,adj,"wayward, disobedient, unto ward.",,D,MotusDictionary
dálan,n,"street, road, path, cleared path.",,D,MotusDictionary
dalándan,v,"/mag-/ to descend quickly , to hurry down | thestairs, to slide down thebannister .",,D,MotusDictionary
Nagdalándan,unknown,angbáta’ sahágdan . The,,D,MotusDictionary
child,unknown,sliddown thestairs. HILIGA YNON DICTIONAR Y,,D,MotusDictionary
dálangdálang,v,"/mag-/ to loseoneself , to loseone’s way.",,D,MotusDictionary
Nagdálangdálang,unknown,akúsadálan . Ilostmy | way.,,D,MotusDictionary
daláwat,v,"/mag-, -un/to buycereal, especially rice | orcorn. Nagdaláwat akúsang bugás . I",,D,MotusDictionary
bought,unknown,some rice.,,D,MotusDictionary
dáldal,v,"/mag-, -un/to backbite, to spread false",,D,MotusDictionary
malicious,unknown,"talk, to talkagainst. Gindáldal",,D,MotusDictionary
niMaría,unknown,"si Joséfa . Maria talked against | dalí’ adv immediately , hurriedly , quickly .",Josefa.,D,MotusDictionary
namun,unknown,angeroplano . Wehurried upso,,D,MotusDictionary
wecould,unknown,"catch theplane. | dalí’ lang adv in alittle while, awhile.",,D,MotusDictionary
dalísay,adj,"pure, immaculate, untainted. | dalú’ v /mag-, -un/to caress, to fondle. Gindalú’ | kuangbáta’Icaressed thechild.",,D,MotusDictionary
dalúk,adj,"selfish, greedy , glutto n.",,D,MotusDictionary
dalúdo,v,"/mag-/ to swell, to rise, to become | flooded. Nagdalúdu angsubá ’. Theriver",,D,MotusDictionary
flooded,unknown,thearea.,,D,MotusDictionary
dálum,adj,/ma-/ deep.,,D,MotusDictionary
dalúndun,v,"/magpa-, -pa-…-an/ to carry , to push | along, to usewater orslimy substance to",,D,MotusDictionary
push,unknown,anobject orfood down thethroat. D,,D,MotusDictionary
Ginpadalundunán,unknown,kusang ságing ang,,D,MotusDictionary
kárne,unknown,saákun tutúnlan . Iateabanana to,,D,MotusDictionary
damán,n,nightmare.,,D,MotusDictionary
Nagpadáman,unknown,si Josefína kagáb’i . Josefina,,D,MotusDictionary
hadanightmare,unknown,lastnight.,,D,MotusDictionary
damáng,n,spider .,,D,MotusDictionary
dámgu,n,dream.,,D,MotusDictionary
dámhag,v,"/mag-/ to fallheadlong, to fallonone’s | face. Nagdámhag angbáta’ sasalúg . The",,D,MotusDictionary
dámpig,v,"/mag-, -an/to help, to aid, to side with.",,D,MotusDictionary
Gindampigán,unknown,"kusi María . Isided with | dámu’ adj /ma-/ many , plenty .",Maria.,D,MotusDictionary
number,unknown,", to in crease.",,D,MotusDictionary
damúg,n,"of pigs, food.",,D,MotusDictionary
damuhál,adj,"rude, unrefined in social manners.",,D,MotusDictionary
dámul,adj,"/ma-/ thick, dense, bulky .",,D,MotusDictionary
dánlug,v,"/ma-/ to slide, to slip. Nadánlug akú. I | slipped.",,D,MotusDictionary
dángat,v,"/-un/ to reach, to acquire, to getat, to | secure, to take hold of. Gindángat ni",,D,MotusDictionary
Mário,unknown,ang Lunéta salakát . Mario,,D,MotusDictionary
reached,unknown,Luneta by walking. HILIGA YNON DICTIONAR Y,,D,MotusDictionary
dangúp,v,"/mag-/ to take refuge, to cover , to shelter , | to appeal. Nagdangúp silákay Mr. Tórres .",,D,MotusDictionary
dapádapá,n,soleofthefeet.,,D,MotusDictionary
dápat,v,"to benecessary , to befit, to apply , to use.",,D,MotusDictionary
Dápat,unknown,makúha ’nátun angeksámin . Itis,,D,MotusDictionary
necessary,unknown,thatwetake theexamination.,,D,MotusDictionary
dápaw,n,chicken flea.,,D,MotusDictionary
dapáy,n,hawk.,,D,MotusDictionary
dapít,adj,near.,,D,MotusDictionary
dáplus,v,"/mag-/ to slide of f, to stray . Nagdáplus",,D,MotusDictionary
angkutsílyo,unknown,"sakamút ku. Theknife slid | of fmyhand. | dápu’ v /mag-, -an/to alight, to attack, to gather",,D,MotusDictionary
around,unknown,asofbirds. Nagdápu’ ang,,D,MotusDictionary
alibángbang,unknown,sabúlak . Thebutterfly,,D,MotusDictionary
alighted,unknown,on theflower .,,D,MotusDictionary
dapúg,n,"sto ve, fireplace, firepit. | dáp’ung n bonfire.",,D,MotusDictionary
dápyus,v,"/mag-/ to slide, to stray . Nagdápyus ang | ti’ílkusalápuk . Myfootslidinthemud.",,D,MotusDictionary
dásig,adv,"quickly , faster .",,D,MotusDictionary
theside,unknown,when they hadanaccident.,,D,MotusDictionary
dasúk,v,"/mag-, -un/to fill, to crowd. Gindasúk ku",,D,MotusDictionary
angmangá,unknown,báyu’ samaléta . Ifilled the,,D,MotusDictionary
bagwith,unknown,"clothes. | dasú’dasú’ adj impulsive, temperamental, risky.",,D,MotusDictionary
thought,unknown,of consequences. Nagdasú’dasú’,,D,MotusDictionary
dasún,adv,next.,,D,MotusDictionary
damaged,unknown,after theincident.,,D,MotusDictionary
dáw,adv,"sa seem similar , like. | dáya’ n deceit, trick, dishonesty .",,D,MotusDictionary
Nagdáya,unknown,’si Manuél sapaghámpang sang,,D,MotusDictionary
baráha,unknown,. Manuel cheated in thecard | game.,,D,MotusDictionary
dayán,v,"/mag-, -un/to walk orstroll about, to | promenade. HILIGA YNON DICTIONAR Y",,D,MotusDictionary
dáyaw,v,"/mag-, -un/to praise, to commend, to | appreciate, to exto l. Gindáyaw angímu",,D,MotusDictionary
commended,unknown,in school.,,D,MotusDictionary
dayáw,adj,"/ma-/ capricious, vain.",,D,MotusDictionary
dáyun,v,"/magpa-, -pa-…-un/ to continue, to come | in, to spend some time on. Nagpadáyun",,D,MotusDictionary
angPresidénte,unknown,sapaghámbal . The,,D,MotusDictionary
President,unknown,went on speaking.,,D,MotusDictionary
de,unknown,"pt of, with. Demoto r angíyabarútu. His",,D,MotusDictionary
canoe,unknown,ismoto rized.,,D,MotusDictionary
debóto,adj,"devout, fervent.",,D,MotusDictionary
dekolór,adj,"multi-colored, colored.",,D,MotusDictionary
dekorá,v,"/mag-, -an/to decorate, to puto n | ornaments. Nagdekora kamí sang",,D,MotusDictionary
baylíhan,unknown,". Wedecorated theballroom. | de’ílo n linen cloth, white linen pairofpants.",,D,MotusDictionary
delárgo,n,long pants formen.,,D,MotusDictionary
demokrásya,n,democracy .,,D,MotusDictionary
demónyo,n,"devil, Satan.",,D,MotusDictionary
dentísta,n,dentist.,,D,MotusDictionary
desgrásya,n,"disaster , accident, disgrace.",,D,MotusDictionary
unfortunate,unknown,experience. Nadesgrásya ang,,D,MotusDictionary
buskahápun,unknown,. Thebusmetanaccident,,D,MotusDictionary
desisyón,n,decision.,,D,MotusDictionary
destíno,n,"destination, assignment forplace of | work.",,D,MotusDictionary
Desyémbre,n,December .,,D,MotusDictionary
dí,unknown,d short form of dirí.,,D,MotusDictionary
debúhu,n,"design, embroidery .",,D,MotusDictionary
diksyonáryo,n,dictionary .,,D,MotusDictionary
díkta,v,"/mag-, -un/to dictate, Nagdíkta ang | ma’éstra sakláse . Theteacher dictated in | class.",,D,MotusDictionary
didál,n,thimble.,,D,MotusDictionary
dídtu,unknown,d over there. | di’ín adv where. | dí’in sadtu pr which of those over there. | dí’in siná’ pr which of those. | dí’in siní pr which of these. | díla’ n to ngue.,,D,MotusDictionary
dilántu,v,"/mag-/ to expand in business, to improve",,D,MotusDictionary
inthefamily,unknown,"standard of living, to | progress. Nagdilántu angákun negósyo .",,D,MotusDictionary
Mybusiness,unknown,expanded.,,D,MotusDictionary
dílap,v,"/mag-, -an/to lick, to lap, to drawl the",,D,MotusDictionary
tongue,unknown,"likeadog. Gindilápan akúsang | idú’. Thedoglicked me. | díli’ v /-un/ to forbid, to prohibit. Gindíli’ ang",,D,MotusDictionary
paghabúy,unknown,sang papél saeskwelahán . It,,D,MotusDictionary
wasforbidden,unknown,to throw paper around the,,D,MotusDictionary
school,unknown,campus. HILIGA YNON DICTIONAR Y,,D,MotusDictionary
dimát,v,"/ma-/ to attract, to draw attention to, to | allure. Nadímat angturísta sang Lunéta .",,D,MotusDictionary
Thetourist,unknown,wasattracted to Luneta.,,D,MotusDictionary
díngding,n,wall of abuilding.,,D,MotusDictionary
dingút,adj,"stingy , miserly , selfish. | dirá’ d there (near thelistener , butfarfrom the | speaker).",,D,MotusDictionary
direktór,n,directo r .,,D,MotusDictionary
diri,unknown,d here.,,D,MotusDictionary
diskúrso,n,"speech, talk.",,D,MotusDictionary
disgústo,v,"/mag-, -un/to bedisgusted, to have a | misunderstanding, to bear ill-feelings.",,D,MotusDictionary
Nagdisgústo,unknown,si María kay Ana. Maria and,Anahadamisunderstanding.,D,MotusDictionary
disimulár,v,"/mag-, -un/to overlook, to letpass, to",,D,MotusDictionary
Gindisimulár,unknown,naláng námun kay,,D,MotusDictionary
makahulúya,unknown,’. Wetried to overlook it,,D,MotusDictionary
disiplína,n,discipline.,,D,MotusDictionary
disprás,n,"masquerade. | dís’ug v /-un/ to push, to jostle, to shove.",,D,MotusDictionary
diwál,adj,lapping to ngue.,,D,MotusDictionary
histongue,unknown,"outattheteacher . | diwáta’ n idol, fairy. D",,D,MotusDictionary
díyas,n,birthday .,,D,MotusDictionary
dóble,adj,"double, twin.",,D,MotusDictionary
doktór,n,docto r .,,D,MotusDictionary
Dódong,n,young boyfrom about ageoneto fifteen.,,D,MotusDictionary
Domínggo,n,Sunday .,,D,MotusDictionary
-dor,unknown,na noun formative affix. Kobradór angíya,,D,MotusDictionary
tátay,unknown,. Hisfather isacollecto r .,,D,MotusDictionary
dormitóryo,n,dormito ry .,,D,MotusDictionary
dós,unknown,num two.,,D,MotusDictionary
dóse,unknown,num twelve.,,D,MotusDictionary
doséna,n,"dozen. | du’ág n color , hue. | dú’aw v /mag-, -un/to drop in, to look in, to visit.",Nagdú’aw kamí kay Mariáno saospitál .,D,MotusDictionary
Wevisited,unknown,Mariano in thehospital. | duká’ v /mag-/ to nodwith drowsiness. Nagduká’ | akúsasíni. Ifeltdrowsy in themovie.,,D,MotusDictionary
dúkduk,v,"/mag-, -un/to pound, to grind.",,D,MotusDictionary
Nagdúkduk,unknown,silásang ma’ís. They ground,,D,MotusDictionary
dukuménto,n,document.,,D,MotusDictionary
dukút,v,"/mag-, -un/to stick to, to paste on.",,D,MotusDictionary
dúda,n,"doubt, suspicion. HILIGA YNON DICTIONAR Y",,D,MotusDictionary
dúgang,n,addition.,,D,MotusDictionary
work,unknown,in creased.,,D,MotusDictionary
dúgay,adv,"of time, long.",,D,MotusDictionary
Nagdúgay,unknown,kamí saeskwelahán . We,,D,MotusDictionary
dugáydugáy,adv,"in alittle while, frequently .",,D,MotusDictionary
dúgkal,v,"/mag-, -un/to thrust, to stick, to stab.",,D,MotusDictionary
dúghan,n,"bosom, chest.",,D,MotusDictionary
dúgmuk,v,"/mag-, -un/to crush, to break by | pressure. Gindúgmuk kuangpildorás . I",,D,MotusDictionary
crushed,unknown,thetablet. | dugú’ n blood.,,D,MotusDictionary
dúguk,v,"/mag-, -an/to join, to take part in.",,D,MotusDictionary
Nagdúguk,unknown,akúsakasál . Ito ok part in the,,D,MotusDictionary
wedding,unknown,procession.,,D,MotusDictionary
dugús,n,honey .,,D,MotusDictionary
dúgwak,n,swan.,,D,MotusDictionary
dúhadúha,v,"/mag-, -un/to doubt, to hesitate, to waver .",,D,MotusDictionary
Nagduhádúha,unknown,akúkunmakádtu oindí’. I,,D,MotusDictionary
wavered,unknown,on whether to goornot. D,,D,MotusDictionary
duhá,unknown,num two.,,D,MotusDictionary
dúhul,v,"/mag-, -un/to give personally , to hand.",,D,MotusDictionary
Gindúhul,unknown,sang kartéro angsulát . The,,D,MotusDictionary
mailman,unknown,"delivered theletter personally . | dúla’ v /ma-, -un/to lose, to miss, to mislay .",Nadúla’ angsíngsing . Thering gotlost.,D,MotusDictionary
dúlang,n,"mine, mineral mine.",,D,MotusDictionary
dúlhug,v,"/mag-/ to descend down aslope, to slide",,D,MotusDictionary
Nagdulhug,unknown,angbáta’ . Thechild slid | down.,,D,MotusDictionary
dúlingdúling,v,"/mag-/ to walk unsteadily , to stagger , to",,D,MotusDictionary
take,unknown,irregular steps. Nagdúlingdúling si,,D,MotusDictionary
Pédro,unknown,pa’úli ’. Pedro staggered home.,,D,MotusDictionary
dúlug,v,"/mag-/ to halt, to sto p, to stand. Nagdúlug",,D,MotusDictionary
angdyip,unknown,sabaláy . Thejeepney sto pped at | home.,,D,MotusDictionary
dulúm,adj,"/ma-/ dark, dim.",,D,MotusDictionary
gloomy,unknown,. Nagdulúm angkalibútan | pag’abút sang gáb’i . Theworld turned,,D,MotusDictionary
dark,unknown,with thecoming of night.,,D,MotusDictionary
dulúnan,n,"boundary , border , confine, demarcation.",,D,MotusDictionary
dúlung,v,"/magpa-/ to approach, to come near, to",,D,MotusDictionary
draw,unknown,"near, to gointhedirection of.",,D,MotusDictionary
Nagpadúlung,unknown,si José saeskwelahán . Jose,,D,MotusDictionary
deliver,unknown,", to conduct. Gindúl’ung ni Juán",,D,MotusDictionary
angpadalá,unknown,saíya. Juan delivered what,,D,MotusDictionary
wassent,unknown,through him.,,D,MotusDictionary
dulúnggan,n,ear. HILIGA YNON DICTIONAR Y,,D,MotusDictionary
dúlut,n,"of fering, gift.",,D,MotusDictionary
dúlsi,n,"candy , pastry .",,D,MotusDictionary
dumála,v,"/mag-, -un/to manage, to lead, to | conduct, to direct, to govern, to | supervise.",,D,MotusDictionary
dúmdum,v,"/mag-, -un/to think, to recollect, to",,D,MotusDictionary
remember,unknown,", to bear in mind, to recall.",,D,MotusDictionary
Nagdúmdum,unknown,akúngamabú’ut si Senén . I,,D,MotusDictionary
papél,unknown,. Thethrowing of paper was | prohibited.,,D,MotusDictionary
dúmug,v,"/mag-, -un/to scuffle, to wrestle, to | struggle. | dumulú’ung n alien, stranger , foreigner .",,D,MotusDictionary
dumút,v,"/mag-, -an/to abominate, to detest, to | begrudge. Gindúmtan si Manuél sang",,D,MotusDictionary
dunút,adj,"rotten, spoiled.",,D,MotusDictionary
mansánas,unknown,. Theapple rotted.,,D,MotusDictionary
dúngan,adv,"to gether , simultaneously .",,D,MotusDictionary
paghámbal,unknown,. They talked atthesame time. D,,D,MotusDictionary
dock,unknown,in port. Nagdúngka’ angbapór . The,,D,MotusDictionary
boat,unknown,hasdocked.,,D,MotusDictionary
dúnglay,v,/mag-/ to in cline to theside. Nagdúnglay | angbáta’saabága ku. Thechild in clined,,D,MotusDictionary
hishead,unknown,on myshoulder .,,D,MotusDictionary
dungúk,v,"/mag-/ to look down, to in cline on e’s head | forward, to bend thehead. Nagdungúk | akú. Ilooked down.",,D,MotusDictionary
dungúg,n,"honor , fame, reputation. | dúpla’ v /mag-, -un/to spito n, to spit. Gindúpla’ | kuangbulúng. Ispitthemedicine.",,D,MotusDictionary
dúsdus,v,"/mag-/ to push, to shove, to mix.",,D,MotusDictionary
Nagdúsdus,unknown,akúsang kalukálu . Imixed,,D,MotusDictionary
thefried,unknown,riceto gether . | dúsmu’ v /ma-/ to stumble. Nadúsmu ’akú,,D,MotusDictionary
pagdalágan,unknown,". Istumbled while Iwas | running. | dusú’ v /mag-, -un/to push against, to shove, to | thrust. | dúta’ n land, soil, earth. | dú’ug n location, site, place. | dú’ul n cork.",,D,MotusDictionary
dúyan,n,"swing, cradle, crib, hammock.",,D,MotusDictionary
Nagdúyan,unknown,akúsang báta. Irocked the | baby.,,D,MotusDictionary
dúyu,adj,"dejected, sad.",,D,MotusDictionary
dwénde,n,"dwarf , elf, leprechaun. HILIGA YNON DICTIONAR Y",,D,MotusDictionary
dyés,unknown,num ten.,,D,MotusDictionary
dyíp,n,"jeepney , renovated warsurplus jeeps",,D,MotusDictionary
used,unknown,aspublic transportation.,,D,MotusDictionary
Dyús,n,"God, the Almighty .",,D,MotusDictionary
dyútay,adj,"tiny, small, little. D",,D,MotusDictionary
ebanghélyo,unknown,"ngospel, epistle.",,E,MotusDictionary
eklípsi,unknown,neclipse.,,E,MotusDictionary
eksámin,unknown,"nexamination, test. | v/mag-, -un/to give ortake anexamination.",,E,MotusDictionary
edád,unknown,nage.,,E,MotusDictionary
eh,unknown,"ptfiller which canmean, oh…, no….",,E,MotusDictionary
eleksyón,unknown,nelection. | v/mag-/ to hold anelection.,,E,MotusDictionary
elementárya,unknown,nelementary .,,E,MotusDictionary
embahadór,unknown,nambassador .,,E,MotusDictionary
embalsamár,v,"/mag-, -un/to embalm.",,E,MotusDictionary
empanáda,unknown,nnative pieofmeat baked with pastry crust.,,E,MotusDictionary
empleyádo,unknown,nemployee.,,E,MotusDictionary
empýene,unknown,nringworm.,,E,MotusDictionary
Enéro,unknown,n January .,,E,MotusDictionary
enhenyéro,unknown,nengineer .,,E,MotusDictionary
ensaláda,unknown,nsalad.,,E,MotusDictionary
entabládo,unknown,"nplatform, stage.",,E,MotusDictionary
